geoRegion,variant_type,date,entries,sumTotal,freq,prct,prct_lower_ci,prct_upper_ci,prct_mean7d,timeframe_all,type,version,classification,data_source
CHFL,B.1.1.7,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.351,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,P.1,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,P.2,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.617,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.525,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.526,2020-09-28,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,other_lineages,2020-09-28,4,4,1,100,39.8,100,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,all_sequenced,2020-09-28,4,4,1,100,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.1.7,2020-09-29,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.351,2020-09-29,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,P.1,2020-09-29,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,P.2,2020-09-29,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
CHFL,B.1.617,2020-09-29,0,0,0,0,NA,NA,NA,TRUE,COVID19VirusVariants,2021-06-08_08-02-38,default,wgs
