"geoRegion","datum","entries","sumTotal","timeframe_7d","offset_last7d","sumTotal_last7d","timeframe_14d","offset_last14d","sumTotal_last14d","timeframe_28d","offset_last28d","sumTotal_last28d","timeframe_phase2","offset_Phase2","sumTotal_Phase2","timeframe_phase2b","offset_Phase2b","sumTotal_Phase2b","timeframe_phase3","offset_Phase3","sumTotal_Phase3","sum7d","sum14d","mean7d","mean14d","timeframe_all","entries_diff_last_age","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsumTotal_Phase3","inzsum7d","inzsum14d","sumdelta7d","inzdelta7d","type","type_variant","version","datum_unit","entries_letzter_stand","entries_neu_gemeldet","entries_diff_last"
"CH",2020-02-24,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,NA,NA,TRUE,1,8606033,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-02-25,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,NA,NA,TRUE,1,8606033,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-02-26,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,NA,NA,TRUE,1,8606033,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-02-27,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,0,NA,TRUE,1,8606033,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-02-28,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,0,NA,TRUE,1,8606033,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-02-29,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,NA,NA,0,NA,TRUE,1,8606033,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-01,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,0,NA,0,0.21,TRUE,1,8606033,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-02,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,0,NA,0.29,0.21,TRUE,1,8606033,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-03,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,0,NA,0.29,0.36,TRUE,1,8606033,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-04,0,0,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,0,NA,0.29,0.57,TRUE,1,8606033,0,0,0.01,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-05,2,2,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,2,NA,0.43,0.86,TRUE,1,8606033,0.02,0,0.01,0.02,NA,NA,NA,NA,NA,NA,0.02,NA,2,0.02,"COVID19Death","","2021-04-20_07-51-08","day",2,0,13
"CH",2020-03-06,0,2,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,2,NA,0.43,1.07,TRUE,1,8606033,0,0,0.01,0.02,NA,NA,NA,NA,NA,NA,0.02,NA,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-07,0,2,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,2,NA,0.71,1.43,TRUE,1,8606033,0,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,0.02,NA,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-08,1,3,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,3,3,1.14,2,TRUE,1,8606033,0.01,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,0.03,0.03,1,0.01,"COVID19Death","","2021-04-20_07-51-08","day",1,0,13
"CH",2020-03-09,0,3,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,3,3,1.43,2.5,TRUE,1,8606033,0,0.02,0.03,0.03,NA,NA,NA,NA,NA,NA,0.03,0.03,0,0,"COVID19Death","","2021-04-20_07-51-08","day",0,0,13
"CH",2020-03-10,2,5,FALSE,9806,0,FALSE,9759,0,FALSE,9625,0,FALSE,1720,0,FALSE,1823,0,FALSE,9294,0,5,5,1.86,3.36,TRUE,1,8606033,0.02,0.02,0.04,0.06,NA,NA,NA,NA,NA,NA,0.06,0.06,2,0.03,"COVID19Death","","2021-04-20_07-51-08","day",2,0,13
