"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Iso",13713,"CHFL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",23471,"CHFL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",3568,"CHFL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_reporting_cantons",24,"CHFL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",13677,"CH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",23429,"CH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",3542,"CH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_reporting_cantons",24,"CH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",1659,"AG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",20,"AI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",139,"AR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",905,"BE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",456,"BL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",36,"FL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",406,"FR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",1185,"GE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",17,"GL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",168,"GR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",76,"JU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",584,"LU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",230,"NE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",48,"NW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",35,"OW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",1624,"SG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",68,"SH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",403,"SO",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",193,"SZ",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",308,"TG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",574,"TI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",1782,"VD",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",572,"VS",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",182,"ZG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Iso",2043,"ZH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",2200,"AG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",18,"AI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",57,"AR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",2036,"BE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",1325,"BL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",42,"FL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",782,"FR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",1449,"GE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",37,"GL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",292,"GR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",472,"JU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",566,"LU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",417,"NE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",127,"NW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",63,"OW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",767,"SG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",149,"SH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",753,"SO",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",383,"SZ",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",1042,"TG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",934,"TI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",3092,"VD",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",892,"VS",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",234,"ZG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Qua",5342,"ZH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",198,"AG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",0,"AI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",14,"AR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",442,"BE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",106,"BL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",26,"FL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",0,"FR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",570,"GE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",20,"GL",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",156,"GR",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",0,"JU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",257,"LU",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",75,"NE",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",20,"NW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",12,"OW",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",153,"SG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",42,"SH",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",107,"SO",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",0,"SZ",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",17,"TG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",194,"TI",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",673,"VD",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",335,"VS",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",151,"ZG",2021-03-25,"day","2021-03-25_07-53-20"
"","COVID19CT_Entry",0,"ZH",2021-03-25,"day","2021-03-25_07-53-20"
