date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2021-02-14,CHFL,moderna,NA,vaccine_type,8644780,4748,NA,NA,0.05,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-15,CHFL,moderna,NA,vaccine_type,8644780,6017,NA,NA,0.07,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-16,CHFL,moderna,NA,vaccine_type,8644780,9645,NA,NA,0.11,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-17,CHFL,moderna,NA,vaccine_type,8644780,17943,NA,NA,0.21,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-18,CHFL,moderna,NA,vaccine_type,8644780,24277,NA,NA,0.28,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-19,CHFL,moderna,NA,vaccine_type,8644780,30426,NA,NA,0.35,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-20,CHFL,moderna,NA,vaccine_type,8644780,33709,NA,NA,0.39,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-21,CHFL,moderna,NA,vaccine_type,8644780,35291,NA,NA,0.41,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-22,CHFL,moderna,NA,vaccine_type,8644780,42480,NA,NA,0.49,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-23,CHFL,moderna,NA,vaccine_type,8644780,53206,NA,NA,0.62,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-24,CHFL,moderna,NA,vaccine_type,8644780,67446,NA,NA,0.78,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
2021-02-25,CHFL,moderna,NA,vaccine_type,8644780,80535,NA,NA,0.93,NA,COVID19FullyVaccPersons,2021-06-13_23-59-00,summary
