date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,age,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,age,3,indication,685845,3,0,0.75,75,75,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,age,0,indication,685845,3,0,0,0,42.9,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,age,5,indication,685845,8,0,0.034,3.4000000000000004,5.3,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,age,455,indication,685845,463,0.1,0.585,58.5,49.8,0.07,0.07,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,age,1506,indication,685845,1969,0.3,0.579,57.9,55.800000000000004,0.22,0.29,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,age,1381,indication,685845,3350,0.5,0.568,56.8,56.2,0.2,0.49,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,age,3332,indication,685845,6682,1,0.64,64,59.8,0.49,0.97,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,age,3417,indication,685845,10099,1.5,0.532,53.2,57.4,0.5,1.47,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,age,2720,indication,685845,12819,1.9,0.461,46.1,54.6,0.4,1.87,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202110,AG,age,1804,indication,685845,14623,2.1,0.355,35.5,51.2,0.26,2.13,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202111,AG,age,1988,indication,685845,16611,2.4,0.361,36.1,48.699999999999996,0.29,2.42,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202112,AG,age,4271,indication,685845,20882,3,0.494,49.4,48.9,0.62,3.04,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202113,AG,age,3363,indication,685845,24245,3.5,0.534,53.400000000000006,49.5,0.49,3.54,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202114,AG,age,3828,indication,685845,28073,4.1,0.446,44.6,48.699999999999996,0.56,4.09,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202115,AG,age,1908,indication,685845,29981,4.4,0.307,30.7,47,0.28,4.37,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202116,AG,age,2200,indication,685845,32181,4.7,0.281,28.1,44.9,0.32,4.69,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202117,AG,age,1442,indication,685845,33623,4.9,0.153,15.299999999999999,41.5,0.21,4.9,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202118,AG,age,2293,indication,685845,35916,5.2,0.197,19.7,38.7,0.33,5.24,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202119,AG,age,1690,indication,685845,37606,5.5,0.119,11.899999999999999,35.199999999999996,0.25,5.48,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202120,AG,age,1366,indication,685845,38972,5.7,0.064,6.4,30.4,0.2,5.68,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202121,AG,age,755,indication,685845,39727,5.8,0.045,4.5,27.400000000000002,0.11,5.79,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202122,AG,age,1962,indication,685845,41689,6.1,0.078,7.8,24.5,0.29,6.08,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202052,AG,chronic_disease,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202053,AG,chronic_disease,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202101,AG,chronic_disease,1,indication,685845,1,0,0.25,25,25,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202102,AG,chronic_disease,0,indication,685845,1,0,0,0,14.299999999999999,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202103,AG,chronic_disease,1,indication,685845,2,0,0.007,0.7000000000000001,1.3,0,0,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202104,AG,chronic_disease,93,indication,685845,95,0,0.12,12,10.2,0.01,0.01,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202105,AG,chronic_disease,467,indication,685845,562,0.1,0.18,18,15.9,0.07,0.08,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202106,AG,chronic_disease,434,indication,685845,996,0.1,0.178,17.8,16.7,0.06,0.15,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202107,AG,chronic_disease,1045,indication,685845,2041,0.3,0.201,20.1,18.3,0.15,0.3,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202108,AG,chronic_disease,1528,indication,685845,3569,0.5,0.238,23.799999999999997,20.3,0.22,0.52,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
202109,AG,chronic_disease,1668,indication,685845,5237,0.8,0.283,28.299999999999997,22.3,0.24,0.76,COVID19FullyVaccPersons,2021-06-11_09-30-57,detailed
