date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.86,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-27,AG,0,685845,0,0,0,0,32.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-28,AG,97,685845,97,0.01,0,0.01,32.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-29,AG,62,685845,159,0.01,0,0.02,32.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-30,AG,69,685845,228,0.01,0,0.03,32.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2020-12-31,AG,0,685845,228,0,0,0.03,32.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-01,AG,1,685845,229,0,0,0.03,19,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-02,AG,0,685845,229,0,0.01,0.03,75.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-03,AG,0,685845,229,0,0.02,0.03,132.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-04,AG,1,685845,230,0,0.04,0.03,236,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-05,AG,455,685845,685,0.07,0.05,0.1,328,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-06,AG,472,685845,1157,0.07,0.05,0.17,359.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-07,AG,723,685845,1880,0.11,0.05,0.27,359.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-08,AG,645,685845,2525,0.09,0.06,0.37,429.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-09,AG,218,685845,2743,0.03,0.07,0.4,482.29,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-10,AG,0,685845,2743,0,0.07,0.4,515.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-11,AG,491,685845,3234,0.07,0.07,0.47,511.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-12,AG,827,685845,4061,0.12,0.07,0.59,496.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-13,AG,702,685845,4763,0.1,0.07,0.69,497,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-14,AG,698,685845,5461,0.1,0.07,0.8,497,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-15,AG,540,685845,6001,0.08,0.08,0.87,547.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-16,AG,221,685845,6222,0.03,0.08,0.91,555,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-17,AG,0,685845,6222,0,0.09,0.91,648.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-18,AG,846,685845,7068,0.12,0.12,1.03,799.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-19,AG,878,685845,7946,0.13,0.13,1.16,891.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-20,AG,1357,685845,9303,0.2,0.13,1.36,877.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-21,AG,1755,685845,11058,0.26,0.13,1.61,877.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-22,AG,1183,685845,12241,0.17,0.14,1.78,934.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-23,AG,123,685845,12364,0.02,0.15,1.8,1023.86,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-24,AG,0,685845,12364,0,0.15,1.8,992.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-25,AG,1243,685845,13607,0.18,0.14,1.98,977.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-26,AG,1506,685845,15113,0.22,0.13,2.2,919.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-27,AG,1138,685845,16251,0.17,0.13,2.37,901.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-28,AG,1649,685845,17900,0.24,0.13,2.61,901.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-29,AG,775,685845,18675,0.11,0.12,2.72,839.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-30,AG,0,685845,18675,0,0.13,2.72,900.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-01-31,AG,0,685845,18675,0,0.15,2.72,1025,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-01,AG,808,685845,19483,0.12,0.16,2.84,1068.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-02,AG,1931,685845,21414,0.28,0.18,3.12,1210.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-03,AG,2012,685845,23426,0.29,0.18,3.42,1234.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-04,AG,1955,685845,25381,0.29,0.18,3.7,1234.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-05,AG,1765,685845,27146,0.26,0.19,3.96,1284.57,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-06,AG,172,685845,27318,0.03,0.18,3.98,1224.71,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
2021-02-07,AG,0,685845,27318,0,0.17,3.98,1173.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
