date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.86,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.71,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-27,AG,0,685845,0,0,0,0,32.57,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-28,AG,97,685845,97,0.01,0,0.01,32.57,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-29,AG,62,685845,159,0.01,0,0.02,32.71,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-30,AG,69,685845,228,0.01,0,0.03,32.71,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2020-12-31,AG,0,685845,228,0,0,0.03,32.71,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-01,AG,1,685845,229,0,0,0.03,19,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-02,AG,0,685845,229,0,0.01,0.03,75.14,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-03,AG,0,685845,229,0,0.02,0.03,132.71,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-04,AG,1,685845,230,0,0.04,0.03,236,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-05,AG,455,685845,685,0.07,0.05,0.1,328,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-06,AG,472,685845,1157,0.07,0.05,0.17,359.14,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-07,AG,723,685845,1880,0.11,0.05,0.27,359.14,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-08,AG,645,685845,2525,0.09,0.06,0.37,429,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-09,AG,218,685845,2743,0.03,0.07,0.4,482.14,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-10,AG,0,685845,2743,0,0.07,0.4,515,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-11,AG,490,685845,3233,0.07,0.07,0.47,511.43,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-12,AG,827,685845,4060,0.12,0.07,0.59,496.43,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-13,AG,702,685845,4762,0.1,0.07,0.69,496.86,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
2021-01-14,AG,698,685845,5460,0.1,0.07,0.8,496.86,COVID19VaccDosesAdministered,2021-06-29_09-35-11,detailed
