datum,entries,entries_pos,entries_neg,sumTotal,timeframe_7d,sumTotal_last7d,timeframe_14d,sumTotal_last14d,timeframe_28d,sumTotal_last28d,timeframe_phase2,sumTotal_Phase2,timeframe_phase2b,sumTotal_Phase2b,timeframe_phase3,sumTotal_Phase3,sum7d,sum14d,mean7d,mean14d,pos_anteil,pos_anteil_mean7d,timeframe_all,anteil_pos_all,anteil_pos_14,anteil_pos_28,anteil_pos_phase2,anteil_pos_phase2b,anteil_pos_phase3,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsum7d,inzsum14d,entries_diff_last_age,entries_diff_last,type,version,datum_unit,nachweismethode,geoRegion
2020-02-06,1,0,1,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-12,1,0,1,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,0.01,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-24,33,1,32,35,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,3,NA,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,0.38,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-25,159,0,159,194,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,175.71,NA,0,1.69,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,1.84,2.03,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-26,317,8,309,511,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,211.86,NA,2.5,2.47,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,3.67,2.45,NA,5.91,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-27,278,11,267,789,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,264.71,NA,4,3.17,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,3.22,3.06,NA,9.13,NA,NA,NA,NA,NA,NA,NA,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-28,441,10,431,1230,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1230,NA,327.71,370,2.3,3.37,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,5.1,3.79,4.28,14.23,NA,NA,NA,NA,NA,NA,14.23,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-02-29,254,14,240,1484,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1483,NA,407,421.86,5.5,4.69,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,2.94,4.71,4.88,17.17,NA,NA,NA,NA,NA,NA,17.15,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-03-01,371,18,353,1855,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1853,NA,446.43,474.93,4.9,6.36,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,4.29,5.16,5.49,21.46,NA,NA,NA,NA,NA,NA,21.43,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
2020-03-02,474,21,453,2329,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2294,NA,490.57,589.07,4.4,9,TRUE,9.2,0.9,1.6,9.2,10.1,5,8644780,5.48,5.67,6.81,26.94,NA,NA,NA,NA,NA,NA,26.54,NA,3,51601,COVID19Tests,2021-06-28_07-41-58,day,all,CHFL
