"datum","entries","entries_pos","entries_neg","sumTotal","timeframe_7d","sumTotal_last7d","timeframe_14d","sumTotal_last14d","timeframe_28d","sumTotal_last28d","timeframe_phase2","sumTotal_Phase2","timeframe_phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","pos_anteil","pos_anteil_mean7d","timeframe_all","anteil_pos_all","anteil_pos_14","anteil_pos_28","anteil_pos_phase2","anteil_pos_phase2b","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","entries_diff_last_age","entries_diff_last","type","version","datum_unit","nachweismethode","geoRegion"
2020-01-24,3,0,3,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.03,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-25,4,0,4,7,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.05,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-27,13,0,13,20,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.15,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-28,16,0,16,36,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,19.57,NA,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.19,0.23,NA,0.42,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-29,29,0,29,65,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,21.86,NA,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.34,0.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-30,40,0,40,105,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,22.86,NA,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.46,0.26,NA,1.21,NA,NA,NA,NA,NA,NA,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-01-31,32,0,32,137,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,137,NA,23,18.79,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.37,0.27,0.22,1.58,NA,NA,NA,NA,NA,1.58,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-01,19,0,19,156,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,153,NA,24.43,19.07,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.22,0.28,0.22,1.8,NA,NA,NA,NA,NA,1.77,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-02,11,0,11,167,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,160,NA,24.29,19.43,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.13,0.28,0.22,1.93,NA,NA,NA,NA,NA,1.85,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-03,14,0,14,181,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,161,NA,20.43,19.43,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.16,0.24,0.22,2.09,NA,NA,NA,NA,NA,1.86,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-04,26,0,26,207,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,171,NA,18,19.86,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.3,0.21,0.23,2.39,NA,NA,NA,NA,NA,1.98,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-05,28,0,28,235,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,170,NA,16.29,19.21,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.32,0.19,0.22,2.72,NA,NA,NA,NA,NA,1.97,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-06,13,0,13,248,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,143,NA,16,16.86,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.15,0.19,0.2,2.87,NA,NA,NA,NA,NA,1.65,NA,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-07,15,0,15,263,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,126,263,15.86,15.21,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.17,0.18,0.18,3.04,NA,NA,NA,NA,NA,1.46,3.04,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-08,7,0,7,270,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,114,267,15.29,14.21,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.08,0.18,0.16,3.12,NA,NA,NA,NA,NA,1.32,3.09,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-09,9,0,9,279,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,112,272,14.14,13.79,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.1,0.16,0.16,3.23,NA,NA,NA,NA,NA,1.3,3.15,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-10,13,0,13,292,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,111,272,13.29,13.43,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.15,0.15,0.16,3.38,NA,NA,NA,NA,NA,1.28,3.15,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
2020-02-11,22,0,22,314,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,107,278,12.43,12.57,0,0,TRUE,12.4,5.8,7.2,12.8,15.6,8644780,0.25,0.14,0.15,3.63,NA,NA,NA,NA,NA,1.24,3.22,1,33017,"COVID19Tests","2021-02-12_07-56-45","day","all","CHFL"
