date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.71,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.29,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-27,AG,0,685845,0,0,0,0,32,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-28,AG,96,685845,96,0.01,0,0.01,32,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-29,AG,60,685845,156,0.01,0,0.02,32.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-30,AG,68,685845,224,0.01,0,0.03,32.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2020-12-31,AG,0,685845,224,0,0,0.03,32.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-01,AG,1,685845,225,0,0,0.03,18.57,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-02,AG,0,685845,225,0,0.01,0.03,74.86,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-03,AG,0,685845,225,0,0.02,0.03,132.43,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-04,AG,1,685845,226,0,0.04,0.03,235.57,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-05,AG,454,685845,680,0.07,0.05,0.1,327.29,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-06,AG,471,685845,1151,0.07,0.05,0.17,358.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-07,AG,722,685845,1873,0.11,0.05,0.27,358.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-08,AG,643,685845,2516,0.09,0.06,0.37,428,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-09,AG,216,685845,2732,0.03,0.07,0.4,481.14,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-10,AG,0,685845,2732,0,0.07,0.4,513.57,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-11,AG,490,685845,3222,0.07,0.07,0.47,510,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-12,AG,826,685845,4048,0.12,0.07,0.59,495.29,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
2021-01-13,AG,698,685845,4746,0.1,0.07,0.69,496,COVID19AtLeastOneDosePersons,2021-06-15_09-45-19,detailed
